school id,Enrollment,White,Black,Hispanic,Asian
24Q520,514,7.0%,4.7%,79.6%,8.4%
30Q301,515,20.8%,15.9%,54.2%,5.8%
24Q610,2168,11.0%,6.3%,49.0%,30.9%
30Q575,874,28.3%,7.3%,34.3%,29.3%
30Q555,993,6.2%,2.4%,54.6%,36.7%
24Q299,623,34.5%,11.4%,17.0%,34.2%
24Q530,509,13.0%,2.6%,45.0%,39.3%
30Q502,970,9.4%,14.9%,56.3%,18.2%
24Q560,610,10.9%,4.9%,64.3%,19.2%
24Q264,478,15.3%,7.1%,51.9%,22.0%
30Q286,572,19.6%,4.7%,38.0%,37.7%
30Q445,2496,16.1%,5.6%,48.7%,28.4%
30Q450,2123,9.0%,13.5%,60.2%,15.7%
30Q501,808,38.7%,13.6%,33.4%,10.5%
30Q580,478,34.5%,2.5%,21.2%,39.6%
13K419,528,2.1%,70.5%,18.4%,6.8%
13K439,345,13.9%,17.7%,26.7%,41.7%
15K497,466,9.9%,47.9%,36.3%,4.2%
15K429,250,6.6%,54.8%,35.5%,2.4%
13K674,458,3.5%,69.7%,19.7%,6.6%
13K527,470,4.9%,73.6%,14.8%,3.5%
13K483,448,0.9%,71.4%,21.9%,2.0%
15K519,596,4.4%,63.8%,25.0%,4.5%
13K605,634,2.1%,74.4%,19.7%,2.5%
13K350,387,0.5%,77.5%,20.7%,0.5%
18K629,353,0.6%,90.4%,8.5%,0.6%
18K569,341,0.3%,91.2%,6.7%,1.2%
17K531,424,1.0%,90.7%,6.5%,1.4%
18K563,566,1.1%,90.3%,5.7%,0.5%
17K546,454,1.1%,75.8%,17.4%,5.3%
18K589,279,1.4%,82.8%,12.5%,1.1%
17K533,319,2.3%,87.6%,7.4%,0.8%
20K609,496,15.0%,17.5%,20.4%,46.5%
20K505,3220,18.6%,11.5%,29.3%,40.1%
13K412,404,0.7%,78.5%,17.8%,1.2%
13K265,421,0.7%,73.0%,22.8%,0.7%
13K670,916,0.5%,86.4%,8.6%,3.4%
14K071,692,2.5%,13.6%,82.7%,0.3%
14K449,676,13.5%,19.4%,14.5%,36.1%
14K454,276,1.4%,38.0%,59.1%,0.7%
14K586,520,2.4%,39.8%,55.8%,1.8%
19K510,284,1.4%,75.7%,19.0%,2.5%
19K502,324,1.9%,71.6%,24.4%,1.2%
19K660,506,0.6%,69.6%,28.1%,1.0%
19K504,319,1.9%,74.0%,22.9%,0.3%
19K507,406,0.5%,80.8%,18.2%,0.2%
19K409,479,0.4%,67.6%,29.5%,2.2%
19K639,334,0.9%,35.6%,56.9%,5.4%
19K583,229,0.4%,0.0%,99.6%,0.0%
19K683,308,4.2%,60.7%,26.0%,7.8%
19K615,1093,1.3%,63.6%,27.2%,6.1%
19K659,330,3.3%,19.7%,71.2%,4.5%
19K404,547,1.2%,73.1%,21.9%,1.5%
19K618,413,1.2%,45.5%,45.5%,5.3%
20K490,4372,34.1%,4.5%,29.2%,30.1%
22K405,3787,23.3%,29.8%,12.5%,33.7%
14K474,1098,0.8%,35.1%,62.6%,1.0%
14K478,1001,2.5%,36.1%,56.9%,4.0%
14K488,494,2.0%,54.7%,40.3%,2.4%
14K685,245,1.2%,11.8%,85.3%,0.0%
14K477,598,1.3%,45.8%,50.0%,1.0%
14K561,682,10.0%,16.4%,69.6%,2.6%
14K558,595,4.2%,31.6%,60.0%,2.4%
23K514,319,0.3%,88.1%,11.3%,0.0%
23K697,390,0.6%,83.0%,15.7%,0.3%
17K122,438,0.7%,85.6%,9.1%,3.0%
17K751,373,0.8%,85.5%,8.8%,1.6%
16K455,648,1.7%,87.2%,8.6%,0.9%
21K348,290,5.5%,72.4%,16.9%,3.8%
21K690,901,53.3%,5.1%,25.0%,16.2%
21K337,358,25.7%,8.7%,24.0%,41.1%
21K572,271,23.2%,17.3%,42.1%,15.5%
20K445,3480,27.6%,4.0%,29.0%,38.6%
21K559,271,13.7%,51.7%,26.6%,7.4%
21K468,564,42.5%,25.7%,24.3%,6.6%
15K463,285,6.3%,46.7%,37.5%,7.4%
15K684,566,31.1%,26.0%,27.2%,9.5%
15K464,423,3.6%,46.4%,36.5%,7.9%
15K462,351,3.4%,66.4%,25.9%,2.0%
13K595,364,0.8%,84.6%,7.7%,3.0%
15K656,870,2.0%,70.3%,22.5%,1.7%
13K430,5447,20.5%,7.7%,7.6%,60.5%
22K555,605,4.6%,72.2%,9.1%,7.9%
20K485,1329,16.3%,7.7%,56.7%,18.0%
32K545,514,0.2%,8.0%,90.7%,0.4%
16K498,596,1.2%,71.1%,23.8%,2.5%
16K688,152,2.0%,71.7%,20.4%,5.9%
32K556,317,0.3%,16.7%,81.4%,0.9%
14K610,383,2.9%,55.9%,38.1%,1.6%
14K632,142,2.1%,62.7%,32.4%,0.7%
21K540,2006,13.7%,28.6%,20.7%,35.8%
21K344,560,43.6%,22.5%,22.3%,10.2%
17K548,386,0.8%,82.6%,15.8%,0.8%
17K547,453,1.3%,80.1%,12.6%,5.3%
17K590,1271,0.6%,90.9%,3.3%,2.9%
17K600,1499,0.9%,89.5%,5.7%,1.8%
17K524,414,13.3%,29.0%,38.9%,18.4%
17K528,246,2.8%,82.1%,13.0%,1.6%
17K543,516,0.9%,87.1%,6.4%,4.0%
17K382,505,0.8%,84.6%,12.3%,1.7%
17K537,384,2.1%,85.4%,8.9%,2.3%
17K539,445,2.0%,82.5%,10.6%,2.7%
17K408,285,1.1%,84.6%,10.2%,3.5%
22K425,3088,44.3%,17.4%,16.7%,21.2%
21K525,3968,26.7%,22.6%,21.7%,26.6%
15K448,685,9.3%,38.5%,45.3%,5.8%
15K667,1333,6.8%,8.5%,77.3%,7.3%
23K493,353,0.3%,87.5%,9.6%,1.4%
16K594,226,1.3%,81.9%,14.6%,0.9%
22K535,1081,59.1%,10.2%,10.6%,18.7%
21K410,2341,20.1%,39.8%,23.7%,15.1%
21K620,613,6.4%,68.7%,18.1%,5.4%
18K642,309,4.2%,79.0%,12.3%,2.9%
18K566,286,1.4%,85.0%,8.7%,1.7%
18K633,432,0.2%,81.9%,13.2%,2.8%
18K617,303,2.6%,85.8%,9.6%,1.3%
18K576,331,1.2%,88.8%,6.3%,0.9%
18K567,395,1.8%,82.0%,13.2%,0.5%
18K637,308,1.3%,86.0%,9.7%,1.6%
32K554,358,1.7%,14.6%,77.0%,6.2%
32K549,405,2.5%,20.5%,76.0%,0.5%
32K403,340,1.5%,19.4%,77.1%,1.8%
32K552,279,0.7%,23.3%,73.8%,0.7%
